Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
FarmFresh Broiler Chicken 1Kg,P001,code128,FarmFresh,P1,KG,KG,KG,12000,15000,50,No Tax,exclusive,assets/uploads/farmfresh_broiler_chicken_1kg.png,SP1_1,Whole|Cut,CF1,CF2,CF3,CF4,CF5,CF6,HSN001,Broiler 1Kg,High-quality broiler chicken from FarmFresh, perfect for grilling,,AgroSupplier,SP001,12000,,,,,,,,
CluckKing Layer Chicken 1.5Kg,P002,code128,CluckKing,P1,KG,KG,KG,14400,18000,50,No Tax,exclusive,assets/uploads/cluckking_layer_chicken_1.5kg.png,SP1_2,Whole|Cut,CF1,CF2,CF3,CF4,CF5,CF6,HSN002,Layer 1.5Kg,Fresh layer chicken from CluckKing, ideal for roasting,,AgroSupplier,SP002,14400,,,,,,,,
OrganicNest Organic Eggs 12-Pack,P003,code128,OrganicNest,P1,PK,PK,PK,8000,10000,50,No Tax,exclusive,assets/uploads/organicnest_organic_eggs_12-pack.png,SP1_3,White|Brown,CF1,CF2,CF3,CF4,CF5,CF6,HSN003,Eggs 12-Pack,Organic eggs from OrganicNest, free-range and nutrient-rich,,AgroSupplier,SP003,8000,,,,,,,,
FarmFresh Chicken Wings 500g,P004,code128,FarmFresh,P1,KG,KG,KG,6400,8000,50,No Tax,exclusive,assets/uploads/farmfresh_chicken_wings_500g.png,SP1_1,Spicy|Mild,CF1,CF2,CF3,CF4,CF5,CF6,HSN004,Wings 500g,Juicy chicken wings from FarmFresh, great for snacks,,AgroSupplier,SP004,6400,,,,,,,,
CluckKing Chicken Thighs 1Kg,P005,code128,CluckKing,P1,KG,KG,KG,12800,16000,50,No Tax,exclusive,assets/uploads/cluckking_chicken_thighs_1kg.png,SP1_1,Bone-In|Boneless,CF1,CF2,CF3,CF4,CF5,CF6,HSN005,Thighs 1Kg,Tender chicken thighs from CluckKing for hearty meals,,AgroSupplier,SP005,12800,,,,,,,,
OrganicNest Manure Pack 5Kg,P006,code128,OrganicNest,P1,KG,KG,KG,4000,5000,50,No Tax,exclusive,assets/uploads/organicnest_manure_pack_5kg.png,P1,Organic|Regular,CF1,CF2,CF3,CF4,CF5,CF6,HSN006,Manure 5Kg,Organic manure from OrganicNest for farming,,AgroSupplier,SP006,4000,,,,,,,,
FarmFresh Pig Meat 2Kg,P007,code128,FarmFresh,P1,KG,KG,KG,20000,25000,50,No Tax,exclusive,assets/uploads/farmfresh_pig_meat_2kg.png,P1,Lean|Fatty,CF1,CF2,CF3,CF4,CF5,CF6,HSN007,Pig Meat 2Kg,Premium pig meat from FarmFresh, perfect for stews,,AgroSupplier,SP007,20000,,,,,,,,
CluckKing Piglets Each,P008,code128,CluckKing,P1,PC,PC,PC,40000,50000,50,No Tax,exclusive,assets/uploads/cluckking_piglets_each.png,P1,Small|Medium,CF1,CF2,CF3,CF4,CF5,CF6,HSN008,Piglet,Healthy piglets from CluckKing for breeding,,AgroSupplier,SP008,40000,,,,,,,,
OrganicNest Chicken Breast 1Kg,P009,code128,OrganicNest,P1,KG,KG,KG,13600,17000,50,No Tax,exclusive,assets/uploads/organicnest_chicken_breast_1kg.png,SP1_1,Boneless|Skinless,CF1,CF2,CF3,CF4,CF5,CF6,HSN009,Breast 1Kg,Lean chicken breast from OrganicNest for healthy meals,,AgroSupplier,SP009,13600,,,,,,,,
