Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
FarmFresh Organic Eggs 12-Pack,EGG-FF-12,code128,FarmFresh,P1,PC,PC,PC,6000,7500,10,No Tax,exclusive,no_image.png,SP1_3,,,CF1,,CF3,,,,HSN,Organic Eggs 12,Free-range organic eggs (12-pack),,AgroSupplier,EGG12,6000,,,,,,,,,,,
SunGold Sunflower Oil 1L,SOIL-SG-1L,code128,SunGold,SI1_1,LT,LT,LT,4500,5500,15,No Tax,exclusive,no_image.png,,,Food Oil,,,,,,HSN,Sunflower Oil 1L,Refined sunflower cooking oil (1 litre),,,,,,,,,,,,,,,
HomeEase White Rice 5KG,RICE-HE-5KG,code128,HomeEase,SD1_1,KG,KG,KG,12000,14000,20,No Tax,exclusive,no_image.png,,,Staple,,,,,,HSN,Rice 5KG,Premium long-grain white rice (5kg),,,,,,,,,,,,,,,
AgroHarvest Wheat Flour 2KG,WF-AH-2KG,code128,AgroHarvest,SA1_4,KG,KG,KG,4500,5200,12,No Tax,exclusive,no_image.png,,,Baking,,,,,,HSN,Wheat Flour 2KG,High-quality wheat flour (2kg),,,,,,,,,,,,,,,
FarmFresh Layer Chicken (Whole) 1.5KG,CHKN-FF-1P5,code128,FarmFresh,P1,KG,KG,KG,9000,11000,8,No Tax,exclusive,no_image.png,SP1_2,,,Fresh Poultry,,,,,HSN,Whole Chicken 1.5KG,Fresh whole layer chicken approx 1.5kg,Food - Keep chilled,,,,,,,,,,,,,
OrganicNest Organic Eggs 6-Pack,EGG-ON-6,code128,OrganicNest,P1,PC,PC,PC,3500,4200,10,No Tax,exclusive,no_image.png,SP1_3,,,Organic,,,,,,HSN,Organic Eggs 6,Organic eggs (6-pack),,,,,,,,,,,,,,,
CropKing Sunflower Cake 25KG,SFC-CK-25,code128,CropKing,SI1_2,KG,KG,KG,28000,32000,5,No Tax,exclusive,no_image.png,,,Feed,,,,,,HSN,Sunflower Cake 25KG,High-protein sunflower cake (25kg),,,,,,,,,,,,,,,
SunGold Soybean Oil 1L,SOY-SG-1L,code128,SunGold,SI1_3,LT,LT,LT,5000,6000,15,No Tax,exclusive,no_image.png,,,Cooking Oil,,,,,,HSN,Soybean Oil 1L,Refined soybean cooking oil (1 litre),,,,,,,,,,,,,,,
HomeEase White Sugar 1KG,SUG-HE-1KG,code128,HomeEase,SD1_2,KG,KG,KG,2200,2700,30,No Tax,exclusive,no_image.png,,,Groceries,,,,,,HSN,Sugar 1KG,Premium white sugar (1kg),,,,,,,,,,,,,,,
HomeEase Soap Bar 200g,SOAP-HE-200,code128,HomeEase,SD1_4,PC,PC,PC,1200,1500,40,No Tax,exclusive,no_image.png,,,Personal Care,,,,,,HSN,Soap 200g,Gentle soap bar (200g),,,,,,,,,,,,,,,
GreenField Maize Flour 2KG,MF-GF-2KG,code128,GreenField,SA1_4,KG,KG,KG,3800,4500,15,No Tax,exclusive,no_image.png,,,Staple Flour,,,,,,HSN,Maize Flour 2KG,Finely milled maize flour (2kg),,,,,,,,,,,,,,,
DailyMart Cooking Oil 1L,CO-DM-1L,code128,DailyMart,SD1_1,LT,LT,LT,4500,5200,20,No Tax,exclusive,no_image.png,,,Household Oil,,,,,,HSN,Cooking Oil 1L,Everyday cooking oil (1 litre),,,,,,,,,,,,,,,
